"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 03 16:04:20 MSK 2024","Wed Jul 03 16:04:20 MSK 2024","2","","CalcUnitTests","","CalcUnitTests","testCalcSubtract","Subtract two numbers",""
"passed","Wed Jul 03 16:04:20 MSK 2024","Wed Jul 03 16:04:20 MSK 2024","2","","CalcUnitTests","","CalcUnitTests","testCalcDivide","Divide two numbers",""
"passed","Wed Jul 03 16:04:20 MSK 2024","Wed Jul 03 16:04:20 MSK 2024","3","","CalcUnitTests","","CalcUnitTests","testCalcMultiply","Multiply two numbers",""
"passed","Wed Jul 03 16:04:19 MSK 2024","Wed Jul 03 16:04:19 MSK 2024","137","","CalcUnitTests","","CalcUnitTests","testCalcAdd","Add two numbers",""
